primaryIdentifier,secondaryIdentifier,nameIdentifierType,addressType,streetName,buildingNumber,postcode,townName,countrySubDivision,country,nationalIdentifier,nationalIdentifierType,countryOfIssue,registrationAuthority,dateOfBirth,placeOfBirth,countryOfResidence
Jacqueline,Lopez,LEGL,GEOG,E Circle,379,25382,Wilkinsburg borough,New Mexico,RU,1000001601,RAID,RU,RA000628,1953-07-21,Wilkinsburg borough,RU
Isis,Oconnell,LEGL,GEOG,Light Land,62,37774,Rocky Ford,South Dakota,AR,1000001628,RAID,AR,RA000628,1992-08-05,Rocky Ford,AR
Tanna,Rijkensz,LEGL,GEOG,Prairie Glen,925,30922,Marine on St. Croix,South Carolina,GI,1000001636,RAID,GI,RA000628,1993-07-12,Marine on St. Croix,GI
Garrett,Bean,LEGL,GEOG,Lazy Plain,678,49732,Dunlevy borough,Nevada,BW,1000001644,RAID,BW,RA000628,1955-10-23,Dunlevy borough,BW
Basil,Cordova,LEGL,GEOG,Shady Park,495,46483,Spiritwood Lake,New York,GE,1000001652,RAID,GE,RA000628,1962-10-31,Spiritwood Lake,GE
Tracee,van Staveren,LEGL,GEOG,Willow Cove,168,87474,Bevington,Pennsylvania,BY,1000001660,RAID,BY,RA000628,1984-05-08,Bevington,BY
Debra,Juarez,LEGL,GEOG,SW Falls,197,47809,North Auburn,New Hampshire,GT,1000001679,RAID,GT,RA000628,1970-08-27,North Auburn,GT
Kassie,Baldwin,LEGL,GEOG,Rocky Rapid,794,12414,Fouke,Idaho,UY,1000001687,RAID,UY,RA000628,1954-10-16,Fouke,UY
Cammie,Zielschot,LEGL,GEOG,Crystal Valley,329,80593,Cuartelez,Montana,AZ,1000001695,RAID,AZ,RA000628,1966-03-02,Cuartelez,AZ
Ivana,van Sam,LEGL,GEOG,Honey Embers,692,25933,River Edge borough,Rhode Island,NA,1000001709,RAID,NA,RA000628,1998-10-06,River Edge borough,NA
Wally,Bos,LEGL,GEOG,Shady View,951,75392,St. Helens,Hawaii,GD,1000001717,RAID,GD,RA000628,1976-12-07,St. Helens,GD
Bernadine,Calderon,LEGL,GEOG,Kennedy Falls,849,65332,Shelton,Mississippi,AN,1000001725,RAID,AN,RA000628,1972-11-13,Shelton,AN
Curtis,Dennis,LEGL,GEOG,London Street,876,24599,Dorchester,Michigan,GR,1000001733,RAID,GR,RA000628,1965-08-15,Dorchester,GR
Jona,van Rossem,LEGL,GEOG,Lost Oval,961,59962,Whelen Springs,Nebraska,GY,1000001741,RAID,GY,RA000628,1946-02-28,Whelen Springs,GY
Eulalia,Abraham,LEGL,GEOG,Cotton Stream,753,33957,Paden village,Delaware,NZ,1000001768,RAID,NZ,RA000628,1950-03-18,Paden village,NZ
Toby,Aguirre,LEGL,GEOG,Silent Forge,942,37099,Eden Prairie,Pennsylvania,CC,1000001776,RAID,CC,RA000628,1945-08-12,Eden Prairie,CC
Tari,Dougherty,LEGL,GEOG,Jane Street,987,38645,Chouteau,Colorado,PF,1000001784,RAID,PF,RA000628,1986-09-02,Chouteau,PF
Kieth,Petty,LEGL,GEOG,Mission Trafficway,842,31515,Northlakes,New York,GP,1000001792,RAID,GP,RA000628,1972-02-04,Northlakes,GP
Maris,Mcclure,LEGL,GEOG,Rapid Nook,817,92141,Calion,Utah,BT,1000001806,RAID,BT,RA000628,1944-09-24,Calion,BT
Caterina,Hicks,LEGL,GEOG,Broad Creek,533,66697,Mustang Ridge,Arkansas,FM,1000001814,RAID,FM,RA000628,1953-10-02,Mustang Ridge,FM
Cleo,van der Spank,LEGL,GEOG,Round Mountain,358,36188,North Terre Haute,New Jersey,SZ,1000001822,RAID,SZ,RA000628,1969-06-04,North Terre Haute,SZ
Ardell,Barton,LEGL,GEOG,Amber Spring,444,90673,Northeast Ithaca,Nebraska,CM,1000001830,RAID,CM,RA000628,1996-12-05,Northeast Ithaca,CM
Gail,Fritz,LEGL,GEOG,Jagged Oval,902,68039,Alachua,New Hampshire,GA,1000001849,RAID,GA,RA000628,1953-09-21,Alachua,GA
Kara,Hodges,LEGL,GEOG,Sunny Narrow,852,76153,Blakesburg,New Hampshire,EG,1000001857,RAID,EG,RA000628,1964-09-16,Blakesburg,EG
Sherlyn,Clark,LEGL,GEOG,Brook Route,471,67384,Grainfield,Michigan,GY,1000001865,RAID,GY,RA000628,1992-02-23,Grainfield,GY
Paige,Obrien,LEGL,GEOG,Merry Rise,713,99902,Middle village,Iowa,CN,1000001873,RAID,CN,RA000628,1960-01-02,Middle village,CN
Philip,Duran,LEGL,GEOG,Green Embers,463,19790,Maringouin,New Mexico,GL,1000001881,RAID,GL,RA000628,2001-10-06,Maringouin,GL
Tyesha,van der Peijl,LEGL,GEOG,Embers Lawn,771,82948,Beverly Shores,Delaware,PK,1000001903,RAID,PK,RA000628,1957-01-10,Beverly Shores,PK
Colin,Kleijne,LEGL,GEOG,George Street,567,33006,Maskell village,Tennessee,ST,1000001911,RAID,ST,RA000628,1977-06-09,Maskell village,ST
Irving,van Piggelen,LEGL,GEOG,Honey Anchor,457,53848,Stratford borough,Louisiana,CG,1000001938,RAID,CG,RA000628,1957-02-13,Stratford borough,CG
Stefan,Goes,LEGL,GEOG,Cozy Common,253,90408,Napier Field,South Carolina,BI,1000001946,RAID,BI,RA000628,1981-05-15,Napier Field,BI
Liane,Boudewijn,LEGL,GEOG,Cliff Vista,4,16802,Randleman,North Carolina,MK,1000001954,RAID,MK,RA000628,1974-05-28,Randleman,MK
Luz,Tyler,LEGL,GEOG,NW Crest,430,93311,Regan,Kentucky,LA,1000001962,RAID,LA,RA000628,1954-08-19,Regan,LA
Delila,Brandt,LEGL,GEOG,Hickory Throughway,642,84324,Kaycee,Maryland,ZA,1000001970,RAID,ZA,RA000628,1983-06-19,Kaycee,ZA
Loren,Knegjens,LEGL,GEOG,Indian Maple,27,30869,Fort Ripley,Wyoming,MG,1000001989,RAID,MG,RA000628,1954-11-19,Fort Ripley,MG
Dorris,Berger,LEGL,GEOG,Red Course,457,67945,Corry,New Mexico,GL,1000001997,RAID,GL,RA000628,1951-04-26,Corry,GL
Bud,Oneil,LEGL,GEOG,Cleave Avenue,234,17677,McDermitt,Arkansas,MD,1000002004,RAID,MD,RA000628,1948-02-05,McDermitt,MD
Edie,van Ommeren,LEGL,GEOG,Thunder Bypass,158,14368,Tiptonville,Texas,FK,1000002012,RAID,FK,RA000628,1999-11-08,Tiptonville,FK
Tanya,Terry,LEGL,GEOG,Creek Lawn,396,27185,Brushton village,New Mexico,AD,1000002020,RAID,AD,RA000628,1958-01-17,Brushton village,AD
Marshall,Harmon,LEGL,GEOG,Shady Maple,202,3285,Crainville village,Rhode Island,KY,1000002039,RAID,KY,RA000628,1986-06-29,Crainville village,KY
Genesis,de Moor,LEGL,GEOG,Rustic Second,48,62516,Avant,Mississippi,ET,1000002047,RAID,ET,RA000628,1954-05-02,Avant,ET
Roy,Rijckx,LEGL,GEOG,Jagged Kennedy,957,66718,Flomaton,Alaska,MS,1000002055,RAID,MS,RA000628,1947-10-01,Flomaton,MS
Archie,Montgomery,LEGL,GEOG,Colonial Course,814,27390,Blue Eye,Oregon,AG,1000002063,RAID,AG,RA000628,1982-11-19,Blue Eye,AG
Rocco,van der Peijl,LEGL,GEOG,Lost Bluff,930,46502,Seminary,West Virginia,GA,1000002071,RAID,GA,RA000628,1983-10-01,Seminary,GA
Lan,Meester,LEGL,GEOG,John Street,2020,86920,Ekwok,Delaware,BD,1000002098,RAID,BD,RA000628,1954-02-21,Ekwok,BD
Dierdre,Gillespie,LEGL,GEOG,Nectar Annex,338,36739,Smith Valley,Colorado,VC,1000002101,RAID,VC,RA000628,1976-07-07,Smith Valley,VC
Wilma,Ali,LEGL,GEOG,Light Haven,338,37766,Meridian,New York,SC,1000002128,RAID,SC,RA000628,1942-02-22,Meridian,SC
Marketta,Bos,LEGL,GEOG,Jagged Spur,376,41693,Elyria village,Missouri,GI,1000002136,RAID,GI,RA000628,1985-01-14,Elyria village,GI
Crissy,Mijzen,LEGL,GEOG,Anchor Union,140,43665,Pumpkin Center,Illinois,BL,1000002144,RAID,BL,RA000628,1997-02-26,Pumpkin Center,BL
Latonya,van der Bilt,LEGL,GEOG,Dale Motorway,704,96858,Gloucester,Delaware,BT,1000002152,RAID,BT,RA000628,1992-01-22,Gloucester,BT
Mafalda,van der Goot,LEGL,GEOG,Main Street,100,91375,West Sacramento,North Dakota,LS,1000002160,RAID,LS,RA000628,1967-03-26,West Sacramento,LS
Jillian,Molenaar,LEGL,GEOG,NW Well,365,61341,Alpharetta,Michigan,TH,1000002179,RAID,TH,RA000628,1959-11-06,Alpharetta,TH
Ruby,Mcfadden,LEGL,GEOG,Indian Row,616,84994,Loganville,Rhode Island,CA,1000002187,RAID,CA,RA000628,1967-04-05,Loganville,CA
Raul,Jefferson,LEGL,GEOG,Grand Rest,434,30026,Temelec,Idaho,FR,1000002195,RAID,FR,RA000628,1951-12-05,Temelec,FR
